part_number,part_name,qty,threshold_qty,dependencies,verified_date,alt_part_nums,search_parms
217-6293,VexPro Versa Planetary 90 deg Drive,4,0,,1/10/2022 19:59,,217-6293 VexPro Versa Planetary 90 deg Drive
217-4100,"18T x 15mm Wide Aluminum Pulley (HTD 5mm, 1/2"" Hex)",1,0,,,,"217-4100 18T x 15mm Wide Aluminum Pulley (HTD 5mm, 1/2"" Hex)"
92620A537,McMaster Car,89,0,,,,92620A537 McMaster Car
90044A123,"Black-Oxide Alloy Steel Socket Head Screw, 1/4""-20 Thread Size, 1-1/2"" Long, Fully Threaded",26,0,,,,"90044A123 Black-Oxide Alloy Steel Socket Head Screw, 1/4""-20 Thread Size, 1-1/2"" Long, Fully Threaded"
3014T45,"Steel Eyebolt with Shoulder - for Lifting, 1/4""-20 Thread Size, 1"" Thread Length",4,0,,,,"3014T45 Steel Eyebolt with Shoulder - for Lifting, 1/4""-20 Thread Size, 1"" Thread Length"
3014T905,"Steel Eyebolt with Shoulder - for Lifting, 5/16""-18 Thread Size, 4"" Thread Length",8,0,,,,"3014T905 Steel Eyebolt with Shoulder - for Lifting, 5/16""-18 Thread Size, 4"" Thread Length"
92949A546,"18-8 Stainless Steel Button Head Hex Drive Screw, 1/4""-20 Thread Size, 1-1/2"" Long",4,0,,,,"92949A546 18-8 Stainless Steel Button Head Hex Drive Screw, 1/4""-20 Thread Size, 1-1/2"" Long"
217-2818,Versa Planetary 4:1 Gear Kit,2,0,,,,217-2818 Versa Planetary 4:1 Gear Kit
217-2701,"20T Aluminum Spur Gear (20 DP, 3/8"" Hex Bore)",1,0,,,,"217-2701 20T Aluminum Spur Gear (20 DP, 3/8"" Hex Bore)"
AM-0255,2.5 in. CIM Motor,2,0,,,,AM-0255 2.5 in. CIM Motor
WCP-0092,"34t Aluminum Spur Gear (20 DP, Dog, ThunderHex Bearing)",4,0,,,,"WCP-0092 34t Aluminum Spur Gear (20 DP, Dog, ThunderHex Bearing)"
am-3480_blue,4 in. Compliant Wheels BLUE,6,0,,,,am-3480_blue 4 in. Compliant Wheels BLUE
am-3480_green,4in. Compliant Wheel GREEN,9,0,,,,am-3480_green 4in. Compliant Wheel GREEN
T40P-175BA-HS4,"BaneBots Wheel, 1-5/8"" x 0.4"", 1/2"" Hex Mount, 50A, Black/Blue",2,0,,,,"T40P-175BA-HS4 BaneBots Wheel, 1-5/8"" x 0.4"", 1/2"" Hex Mount, 50A, Black/Blue"
T40P-194BO-HS4,"BaneBots Wheel, 1-7/8"" x 0.4"", 1/2"" Hex Mount, 40A, Black/Orange",1,0,,,,"T40P-194BO-HS4 BaneBots Wheel, 1-7/8"" x 0.4"", 1/2"" Hex Mount, 40A, Black/Orange"
T40P-244BO-HS4,"BaneBots Wheel, 2-3/8"" x 0.4"", 1/2"" Hex Mount, 40A, Black/Orange",1,0,,,,"T40P-244BO-HS4 BaneBots Wheel, 2-3/8"" x 0.4"", 1/2"" Hex Mount, 40A, Black/Orange"
T40P-245BA-HS4,"BaneBots Wheel, 2-3/8"" x 0.4"", 1/2"" Hex Mount, 50A, Black/Blue",1,0,,,,"T40P-245BA-HS4 BaneBots Wheel, 2-3/8"" x 0.4"", 1/2"" Hex Mount, 50A, Black/Blue"
217-4052,"Colson Performa (4"" x 1.5"", 1/2"" Hex Bore)",13,0,,,,"217-4052 Colson Performa (4"" x 1.5"", 1/2"" Hex Bore)"
217-4054,"Colson Performa (4"" x 2"", 1/2"" Hex Bore)",14,0,,,,"217-4054 Colson Performa (4"" x 2"", 1/2"" Hex Bore)"
HS-322HD,HiTech Deluxe Servo,20,0,,,,HS-322HD HiTech Deluxe Servo
1073-Test,Test Part,3,0,,,,1073-Test Test Part
X002BNILQ5,"ERAYCO Anderson Powerpole Connectors - 20 red 20 black housings, 40x silver plated contacts",3,0,,,,"X002BNILQ5 ERAYCO Anderson Powerpole Connectors - 20 red 20 black housings, 40x silver plated contacts"
SHF-001T-0.8BS,CONN SOCKET 22-28AWG CRIMP TIN PACK 250,1,0,,,,SHF-001T-0.8BS CONN SOCKET 22-28AWG CRIMP TIN PACK 250
14-806880,CTRE Power Distribution Panel,1,0,,,,14-806880 CTRE Power Distribution Panel
AM-3205,Open-Mesh OM5P-AC FIRST Robotics Competition Robot Radio,3,0,,,,AM-3205 Open-Mesh OM5P-AC FIRST Robotics Competition Robot Radio
X001UI2JAL,MakerFocus Mini Digit 2 Colours (Blue and White),4,0,,,,X001UI2JAL MakerFocus Mini Digit 2 Colours (Blue and White)
LPNRR963200098,WS2812B LED Strips (AMAZON) - 5M/Roll,1,0,,,,LPNRR963200098 WS2812B LED Strips (AMAZON) - 5M/Roll
17-677082,CTRE CANifier,1,0,,,,17-677082 CTRE CANifier
am-3833b,LimeLight 2 AndyMark,1,0,,,,am-3833b LimeLight 2 AndyMark
ELP-SUSB1080P01-LC1100,2.0 MP USB Camera Powered DC 5V,2,0,,,,ELP-SUSB1080P01-LC1100 2.0 MP USB Camera Powered DC 5V
MB-1043,High Performance Ultrasonic Rangefinder - EZ4 (MB1043),5,0,,,,MB-1043 High Performance Ultrasonic Rangefinder - EZ4 (MB1043)
fc-AD-7729,Analog Devices Gyro (ADXRS450),3,0,,,,fc-AD-7729 Analog Devices Gyro (ADXRS450)
SEN-36001,VL6180X Time of Flight,10,0,,,,SEN-36001 VL6180X Time of Flight
fc-AD-0661,"Andy Mark IMU, SPI (ADIS16470)",1,0,,,,"fc-AD-0661 Andy Mark IMU, SPI (ADIS16470)"
FC-AD-3281,,1,0,,1/12/2022 20:56,,FC-AD-3281
217-8080,CTRE Talon SRX,6,0,,1/12/2022 20:56,,217-8080 CTRE Talon SRX
217-9191,VexPro Victor SPX,4,0,,1/12/2022 20:56,,217-9191 VexPro Victor SPX
14-806777,CTRE Pneumatic Control Mod,4,0,,,,14-806777 CTRE Pneumatic Control Mod
14-868277,CTRE Voltage Regulator Module,1,0,,,,14-868277 CTRE Voltage Regulator Module
15-696679,Talon SRX Encoder Breakout Board,6,0,,,,15-696679 Talon SRX Encoder Breakout Board
1073-NVIDIA-01,NVIDIA Jetson Nano Developer Kit,2,0,,,,1073-NVIDIA-01 NVIDIA Jetson Nano Developer Kit
217-3229,"VexPro Pulley (HDT 5mm) - 30T, 9mm 1/"" Hex",2,0,,1/13/2022 21:04,,"217-3229 VexPro Pulley (HDT 5mm) - 30T, 9mm 1/"" Hex"
217-3634,VexPro - WCP - Gearbox Bearing Block,2,0,,1/13/2022 21:04,,217-3634 VexPro - WCP - Gearbox Bearing Block
Test1,Justin Test,10,0,,1/18/2022 18:23,,Test1 Justin Test
217-5882,"Belt, Timing, 50T x 9mm wide",4,0,,,,"217-5882 Belt, Timing, 50T x 9mm wide"
5005M15,"belt, 500T x 15mm wide",1,0,,,,"5005M15 belt, 500T x 15mm wide"
217-4017,"1/2"" Hex x .201"" ID Thunderhex stock 36""",10,0,,,,"217-4017 1/2"" Hex x .201"" ID Thunderhex stock 36"""
92510A649,"spacer, aluminum unthreaded 3/8"" OD .1"" long for #10 screw",4,0,,,,"92510A649 spacer, aluminum unthreaded 3/8"" OD .1"" long for #10 screw"
